id,user_id,page_name,page_path,session_id,ip_address,user_agent,viewed_at,duration_seconds,left_at
88,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:44:09.253333,,
89,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:44:09.676666,,
90,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:44:10.096666,,
91,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:44:10.523333,,
92,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:44:10.926666,,
93,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:57:01.413333,,
94,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:57:17.986666,,
95,1,Settings,/settings,session-1754417947175-jnzl6oa7b,,,2025-08-05T18:19:08.913333,,
96,1,Settings,/settings,session-1754417947175-jnzl6oa7b,,,2025-08-05T18:20:40.086666,,
97,1,Settings,/settings,session-1754420985105-u1o7avxbe,,,2025-08-05T19:10:42.413333,,
98,1,Settings,/settings,session-1754420985105-u1o7avxbe,,,2025-08-05T19:10:43.496666,,
99,1,Settings,/settings,session-1754421159599-byhcujupj,,,2025-08-05T19:12:42.110000,,
100,1,Settings,/settings,session-1754421159599-byhcujupj,,,2025-08-05T19:14:13.173333,,
101,1,Homepage,/,session-1754422631729-v0fssggm8,,,2025-08-05T19:37:15.213333,,
102,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-05T19:37:16.316666,,
103,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-05T19:38:13.493333,,
104,1,Settings,/settings,session-1754423227643-ma8dk2jch,,,2025-08-05T19:47:08.466666,,
105,1,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:48:40.980000,,
106,1,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:50:14.913333,,
107,692970327,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:50:16.440000,,
108,692970327,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:51:47.960000,,
109,692970327,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:51:50.163333,,
110,1,Homepage,/,session-1754423689935-pl4i85ytl,,,2025-08-05T19:54:51.200000,,
111,1,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:55:13.633333,,
112,1,Homepage,/,session-1754423723518-ntlyxc07n,,,2025-08-05T19:55:24.353333,,
113,1,Settings,/settings,session-1754423241771-9ej1681rf,,,2025-08-05T19:56:44.856666,,
114,1,Settings,/settings,session-1754423989266-ll8wjir22,,,2025-08-05T19:59:49.813333,,
115,1,Settings,/settings,session-1754424307665-rs1fxt5q4,,,2025-08-05T20:06:25.053333,,
116,1,Settings,/settings,session-1754424307665-rs1fxt5q4,,,2025-08-05T20:06:26.643333,,
117,1,Settings,/settings,session-1754424307665-rs1fxt5q4,,,2025-08-05T20:06:28.780000,,
118,1,Settings,/settings,session-1754424307665-rs1fxt5q4,,,2025-08-05T20:07:04.806666,,
119,1,Homepage,/,session-1754424441418-k7tkxre4p,,,2025-08-05T20:07:22.290000,,
120,1,State Legislation - Kentucky,/state/kentucky,session-1754424441418-k7tkxre4p,,,2025-08-05T20:07:32.756666,,
121,1,Settings,/settings,session-1754424307665-rs1fxt5q4,,,2025-08-05T20:08:35.833333,,
122,1,Settings,/settings,session-1754424551782-njuhsic97,,,2025-08-05T20:09:14.256666,,
123,1,Settings,/settings,session-1754424551782-njuhsic97,,,2025-08-05T20:10:45.340000,,
124,1,Settings,/settings,session-1754424925502-l50qe2kts,,,2025-08-05T20:15:26.176666,,
125,1,Settings,/settings,session-1754425387335-kn0djes1e,,,2025-08-05T20:23:09.756666,,
126,1,Settings,/settings,session-1754425387335-kn0djes1e,,,2025-08-05T20:24:40.833333,,
127,1,Settings,/settings,session-1754426341588-y3udmvsg0,,,2025-08-05T20:39:40.483333,,
128,1,Settings,/settings,session-1754426341588-y3udmvsg0,,,2025-08-05T20:39:41.856666,,
129,1,Settings,/settings,session-1754426341588-y3udmvsg0,,,2025-08-05T20:39:44.360000,,
130,1,Homepage,/,session-1754426386799-6ho0y7gcv,,,2025-08-05T20:39:48.030000,,
131,1,State Legislation - Kentucky,/state/kentucky,session-1754426386799-6ho0y7gcv,,,2025-08-05T20:39:57.626666,,
132,1,Homepage,/,session-1754426400493-e2g3tvcr7,,,2025-08-05T20:40:01.416666,,
133,1,Settings,/settings,session-1754426412191-mn65xtwnr,,,2025-08-05T20:40:14.660000,,
134,1,Settings,/settings,session-1754426412191-mn65xtwnr,,,2025-08-05T20:41:45.726666,,
135,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-05T20:41:54.196666,,
136,1,Settings,/settings,session-1754426607147-v9ztlw8cw,,,2025-08-05T20:43:31.183333,,
137,1,Settings,/settings,session-1754426607147-v9ztlw8cw,,,2025-08-05T20:45:02.523333,,
138,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-05T22:56:40.930000,,
139,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-05T23:13:20.426666,,
140,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-05T23:23:33.106666,,
141,1,Homepage,/,session-1754436745455-atr2jfmyc,,,2025-08-05T23:35:03.953333,,
142,1,Homepage,/,session-1754436745455-atr2jfmyc,,,2025-08-05T23:35:04.366666,,
143,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-06T00:38:03.400000,,
144,1,Settings,/settings,session-1754440816218-x3z9urafr,,,2025-08-06T00:40:17.136666,,
145,1,Homepage,/,session-1754422631729-v0fssggm8,,,2025-08-06T00:51:33.620000,,
146,1,State Legislation - Texas,/state/texas,session-1754422631729-v0fssggm8,,,2025-08-06T00:51:37.843333,,
147,1,State Legislation - California,/state/california,session-1754422631729-v0fssggm8,,,2025-08-06T00:52:46.526666,,
148,1,State Legislation - Nevada,/state/nevada,session-1754422631729-v0fssggm8,,,2025-08-06T00:52:52.080000,,
149,1,State Legislation - Colorado,/state/colorado,session-1754422631729-v0fssggm8,,,2025-08-06T00:52:57.310000,,
150,1,State Legislation - South Carolina,/state/south-carolina,session-1754422631729-v0fssggm8,,,2025-08-06T00:53:01.196666,,
151,1,State Legislation - Kentucky,/state/kentucky,session-1754422631729-v0fssggm8,,,2025-08-06T00:53:04.520000,,
152,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-06T00:56:45.326666,,
153,1,Homepage,/,session-1754422631729-v0fssggm8,,,2025-08-06T00:56:58.336666,,
154,1,Homepage,/,session-1754422631729-v0fssggm8,,,2025-08-06T00:58:02.430000,,
155,1,Homepage,/,session-1754422631729-v0fssggm8,,,2025-08-06T01:29:12.773333,,
156,1,Settings,/settings,session-1754422631729-v0fssggm8,,,2025-08-06T01:29:19,,
157,1,Homepage,/,session-1754443804828-hqc23hzad,,,2025-08-06T01:30:05.253333,,
158,1,Homepage,/,session-1754443804828-hqc23hzad,,,2025-08-06T01:30:59.100000,,
159,1,State Legislation - Texas,/state/texas,session-1754443804828-hqc23hzad,,,2025-08-06T01:31:02.646666,,
160,1,Homepage,/,session-1754422631729-v0fssggm8,,,2025-08-06T01:32:32.976666,,
161,1,Homepage,/,session-1754443804828-hqc23hzad,,,2025-08-06T01:34:48.343333,,
162,1,Settings,/settings,session-1754445827648-jn39nmxk3,,,2025-08-06T02:36:06.126666,,
163,1,Settings,/settings,session-1754445827648-jn39nmxk3,,,2025-08-06T02:36:07.373333,,
164,1,Homepage,/,session-1754445827648-jn39nmxk3,,,2025-08-06T02:54:16.740000,,
165,1,Homepage,/,session-1754445827648-jn39nmxk3,,,2025-08-06T02:54:18.010000,,
166,1,Homepage,/,session-1754445827648-jn39nmxk3,,,2025-08-06T02:54:25.110000,,
